figure,context_tokens,batch,plotted_method,newly_rerun,repeat_index,input_metric,source_file,metric_field,value
1,16384,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t16384_c0_n128/result.json,mean(attention_profile.components[*].attention_block),3.8070810071658343
1,16384,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t16384_c1_n128/result.json,mean(attention_profile.components[*].attention_block),3.8086180044338107
1,16384,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t16384_c2_n128/result.json,mean(attention_profile.components[*].attention_block),3.808659995207563
1,16384,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t16384_c0_n128/result.json,mean(attention_profile.components[*].attention_block),4.434418000746518
1,16384,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t16384_c1_n128/result.json,mean(attention_profile.components[*].attention_block),4.394830995704979
1,16384,1,attention_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t16384_c2_n128/result.json,mean(attention_profile.components[*].attention_block),4.390291006769985
1,16384,1,full_model_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t16384_c0_n128/result.json,measurement.cuda_median_ms,27.084735870361328
1,16384,1,full_model_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t16384_c1_n128/result.json,measurement.cuda_median_ms,27.08220863342285
1,16384,1,full_model_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t16384_c2_n128/result.json,measurement.cuda_median_ms,27.12830352783203
1,16384,1,full_model_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t16384_c0_n128/result.json,measurement.cuda_median_ms,27.662992477416992
1,16384,1,full_model_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t16384_c1_n128/result.json,measurement.cuda_median_ms,27.61888027191162
1,16384,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t16384_c2_n128/result.json,measurement.cuda_median_ms,27.6124324798584
1,24576,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t24576_c0_n128/result.json,mean(attention_profile.components[*].attention_block),5.266510005109012
1,24576,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t24576_c1_n128/result.json,mean(attention_profile.components[*].attention_block),5.2732889908365905
1,24576,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t24576_c2_n128/result.json,mean(attention_profile.components[*].attention_block),5.266927003394812
1,24576,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t24576_c0_n128/result.json,mean(attention_profile.components[*].attention_block),5.3297499949112535
1,24576,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t24576_c1_n128/result.json,mean(attention_profile.components[*].attention_block),5.1615879982709885
1,24576,1,attention_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t24576_c2_n128/result.json,mean(attention_profile.components[*].attention_block),5.167076013050973
1,24576,1,full_model_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t24576_c0_n128/result.json,measurement.cuda_median_ms,28.597647666931152
1,24576,1,full_model_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t24576_c1_n128/result.json,measurement.cuda_median_ms,28.669471740722656
1,24576,1,full_model_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t24576_c2_n128/result.json,measurement.cuda_median_ms,28.632831573486328
1,24576,1,full_model_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t24576_c0_n128/result.json,measurement.cuda_median_ms,28.360400199890137
1,24576,1,full_model_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t24576_c1_n128/result.json,measurement.cuda_median_ms,28.33123207092285
1,24576,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t24576_c2_n128/result.json,measurement.cuda_median_ms,28.331151962280273
1,32768,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t32768_c0_n128/result.json,mean(attention_profile.components[*].attention_block),6.7027039914391935
1,32768,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t32768_c1_n128/result.json,mean(attention_profile.components[*].attention_block),6.7036259872838855
1,32768,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t32768_c2_n128/result.json,mean(attention_profile.components[*].attention_block),6.70659598801285
1,32768,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t32768_c0_n128/result.json,mean(attention_profile.components[*].attention_block),5.845434997230768
1,32768,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t32768_c1_n128/result.json,mean(attention_profile.components[*].attention_block),5.8481559958308935
