{'stage': 'capture', 'split': 'fit', 'window': 0, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 1, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 2, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 3, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 4, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 5, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 6, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 7, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 8, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 9, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 10, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 11, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 12, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 13, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 14, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 15, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 16, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 17, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 18, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 19, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 20, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 21, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 22, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 23, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 24, 'layer': 0, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 25, 'layer': 0, 'query_count': 64}
