#########################BEGIN-PROLOG#########################
JobName   = chunk8_pcg50_s4
Account   = yanggrp
NodeList  = lovelace
Resources = cpu=4,mem=96G,node=1,billing=4,gres/gpu=1,gres/gpu:l40s=1
WorkDir   = /deac/csc/yangGrp/zhangal/BasisServe-CALS
JobName   = chunk8_pcg50_s4
Account   = yanggrp
NodeList  = lovelace
Resources = cpu=4,mem=96G,node=1,billing=4,gres/gpu=1,gres/gpu:l40s=1
WorkDir   = /deac/csc/yangGrp/zhangal/BasisServe-CALS
JobName   = chunk8_pcg50_s4
Account   = yanggrp
NodeList  = lovelace
Resources = cpu=4,mem=96G,node=1,billing=4,gres/gpu=1,gres/gpu:l40s=1
WorkDir   = /deac/csc/yangGrp/zhangal/BasisServe-CALS
###########################END-PROLOG#########################
{'stage': 'capture', 'split': 'fit', 'window': 0, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 1, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 2, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 3, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 4, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 5, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 6, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 7, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 8, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 9, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 10, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 11, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 12, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 13, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 14, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 15, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 16, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 17, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 18, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 19, 'layer': 31, 'query_count': 64}
{'stage': 'capture', 'split': 'fit', 'window': 20, 'layer': 31, 'query_count': 64}
