layer,group,document,query_position,page,token_start,token_end_inclusive,pinned,teacher_mass_mean,teacher_non_sink_mass_mean,teacher_mass_h0,teacher_mass_h1,teacher_mass_h2,teacher_mass_h3,exact.group_score,exact.rank_min,exact.rank_max,exact.owner,exact.selected,exact.cutoff,exact.score_minus_cutoff,exact.global_owner_head,exact.rank_min_minus_63,q32.group_score,q32.rank_min,q32.rank_max,q32.owner,q32.selected,q32.cutoff,q32.score_minus_cutoff,q32.global_owner_head,q32.rank_min_minus_63,q32.status,qgram32.group_score,qgram32.rank_min,qgram32.rank_max,qgram32.owner,qgram32.selected,qgram32.cutoff,qgram32.score_minus_cutoff,qgram32.global_owner_head,qgram32.rank_min_minus_63,qgram32.status
0,0,64,32767,0,0,31,True,3.222527448087931e-05,0.0,6.196702543093124e-06,1.9808219531313766e-14,2.1090288555569714e-06,0.00012059536675224081,-inf,0,0,0,True,0.004178705625236034,-inf,0,,-inf,0,0,0,True,0.004122087731957436,-inf,0,,intersection,-inf,0,0,0,True,0.003921698313206434,-inf,0,,intersection
0,0,64,32767,1,32,63,False,2.5274894142057747e-05,2.5277848180849105e-05,1.3438576615953934e-06,6.3572701790304276e-12,1.8553844256530283e-06,9.790033072931692e-05,9.791213233256713e-05,902,902,3,False,0.004178705625236034,-0.004080793492903467,3,839,0.00011760614870581776,870,870,3,False,0.004122087731957436,-0.004004481583251618,3,807,neither,9.654856694396585e-05,893,893,3,False,0.003921698313206434,-0.0038251497462624684,3,830,neither
0,0,64,32767,2,64,95,False,2.023320848820731e-05,2.023557317443192e-05,8.563007440898218e-07,2.0385853649693836e-13,1.6290241546812467e-06,7.844750507501885e-05,7.845695654395968e-05,927,927,3,False,0.004178705625236034,-0.004100248668692075,3,864,6.57045966363512e-05,947,947,3,False,0.004122087731957436,-0.004056383135321084,3,884,neither,5.726235394831747e-05,953,953,3,False,0.003921698313206434,-0.0038644359592581168,3,890,neither
0,0,64,32767,3,96,127,False,4.8980269639287144e-05,4.8985821194946766e-05,8.390015864279121e-06,2.966234549650615e-11,3.838913926301757e-06,0.00018369211466051638,0.00018371426267549396,750,750,3,False,0.004178705625236034,-0.0039949913625605404,3,687,0.00013949075946584344,834,834,3,False,0.004122087731957436,-0.003982596972491592,3,771,neither,0.00011533330689417198,866,866,3,False,0.003921698313206434,-0.0038063650063122623,3,803,neither
0,0,64,32767,4,128,159,False,2.9498240110115148e-05,2.9501605240511708e-05,3.4134186535084154e-06,3.6974698476577306e-12,3.215639708287199e-06,0.0001113639009417966,0.00011137733235955238,880,880,3,False,0.004178705625236034,-0.004067328292876482,3,817,0.00010256299719912931,892,892,3,False,0.004122087731957436,-0.004019524734758306,3,829,neither,9.182601934298873e-05,902,902,3,False,0.003921698313206434,-0.0038298722938634455,3,839,neither
0,0,64,32767,5,160,191,False,3.6156296118861064e-05,3.6160272429697216e-05,3.848229425784666e-06,1.584894854245178e-10,9.157045496976934e-06,0.00013161974493414164,0.00013163562107365578,843,843,3,False,0.004178705625236034,-0.004047070004162379,3,780,0.00010109854338224977,897,897,3,False,0.004122087731957436,-0.004020989188575186,3,834,neither,9.140297333942726e-05,904,904,3,False,0.003921698313206434,-0.003830295339867007,3,841,neither
0,0,64,32767,6,192,223,False,1.8572953194961883e-05,1.857505958469119e-05,1.6349780480595655e-06,2.272845757086972e-12,2.8924407615704695e-06,6.976439181016758e-05,6.977280281716958e-05,940,940,3,False,0.004178705625236034,-0.004108932822418865,3,877,7.392902625724673e-05,933,933,3,False,0.004122087731957436,-0.004048158705700189,3,870,neither,7.209181057987735e-05,933,933,3,False,0.003921698313206434,-0.003849606502626557,3,870,neither
0,0,64,32767,7,224,255,False,4.689414708991535e-05,4.689949855674058e-05,2.0988245523767546e-06,3.160398917394225e-13,8.271384103863966e-06,0.0001772063842508942,0.00017722776101436466,756,756,3,False,0.004178705625236034,-0.00400147786422167,3,693,0.00014486614963971078,821,821,3,False,0.004122087731957436,-0.003977221582317725,3,758,neither,0.00011721603368641809,862,862,3,False,0.003921698313206434,-0.003804482279520016,3,799,neither
0,0,64,32767,8,256,287,False,1.8171082047047094e-05,1.8173110220232047e-05,2.298038225490018e-06,1.1978009458856603e-13,3.29253998643253e-06,6.709375156788155e-05,6.710184243274853e-05,946,946,3,False,0.004178705625236034,-0.004111603782803286,3,883,6.052538083167747e-05,956,956,3,False,0.004122087731957436,-0.004061562351125758,3,893,neither,5.391750164562836e-05,961,961,3,False,0.003921698313206434,-0.003867780811560806,3,898,neither
0,0,64,32767,9,288,319,False,1.6484436855535023e-05,1.6486330423504114e-05,9.347148761662538e-07,5.422337654836101e-14,2.325695731997257e-06,6.26773398835212e-05,6.268489960348234e-05,952,952,3,False,0.004178705625236034,-0.004116020725632552,3,889,7.152481703087687e-05,936,936,3,False,0.004122087731957436,-0.004050562914926559,3,873,neither,6.442156154662371e-05,943,943,3,False,0.003921698313206434,-0.0038572767516598105,3,880,neither
