layer,group,document,query_position,page,token_start,token_end_inclusive,pinned,teacher_mass_mean,teacher_non_sink_mass_mean,teacher_mass_h0,teacher_mass_h1,teacher_mass_h2,teacher_mass_h3,exact.group_score,exact.rank_min,exact.rank_max,exact.owner,exact.selected,exact.cutoff,exact.score_minus_cutoff,exact.global_owner_head,exact.rank_min_minus_63,q32.group_score,q32.rank_min,q32.rank_max,q32.owner,q32.selected,q32.cutoff,q32.score_minus_cutoff,q32.global_owner_head,q32.rank_min_minus_63,q32.status,qgram32.group_score,qgram32.rank_min,qgram32.rank_max,qgram32.owner,qgram32.selected,qgram32.cutoff,qgram32.score_minus_cutoff,qgram32.global_owner_head,qgram32.rank_min_minus_63,qgram32.status
0,3,76,30463,752,24064,24095,False,0.05764009431004524,0.05764022096991539,0.04558885470032692,0.0032023456878960133,0.0014346230309456587,0.18033455312252045,0.18033500015735626,2,2,3,True,0.004073483869433403,0.17626151628792286,15,-61,0.191378653049469,3,3,3,True,0.003177393926307559,0.18820125912316144,15,-60,intersection,0.0034565506502985954,71,71,3,False,0.0038612992502748966,-0.0004047485999763012,15,8,missed
0,3,74,29695,653,20896,20927,False,0.02204754576086998,0.022047871723771095,5.105938544147648e-05,0.08745164424180984,0.0001664053852437064,0.0005210679373703897,0.0874529480934143,8,8,1,True,0.006363167427480221,0.08108978066593409,13,-55,0.006125450599938631,57,57,1,True,0.0054766093380749226,0.0006488412618637085,13,-6,intersection,0.0031647810246795416,120,120,1,False,0.005000415723770857,-0.0018356346990913153,13,57,missed
0,3,76,30463,751,24032,24063,False,0.021224942058324814,0.021224990487098694,0.009255915880203247,0.0018656443571671844,0.00023952424817252904,0.07353868335485458,0.07353886216878891,5,5,3,True,0.004073483869433403,0.0694653782993555,15,-58,0.19286291301250458,2,2,3,True,0.003177393926307559,0.18968551908619702,15,-61,intersection,0.0017945116851478815,139,139,1,False,0.0038612992502748966,-0.002066787565127015,13,76,missed
0,2,74,26111,494,15808,15839,False,0.017261594533920288,0.017261594533920288,0.0025695504155009985,0.0009671300067566335,0.06545663625001907,5.306609091348946e-05,0.06545663625001907,3,3,2,True,0.0032954257912933826,0.06216121045872569,10,-60,0.14295950531959534,3,3,2,True,0.003590646665543318,0.13936885865405202,10,-60,intersection,0.0035181560087949038,67,67,0,False,0.0038777233567088842,-0.0003595673479139805,8,4,missed
0,4,75,30463,607,19424,19455,False,0.016673855483531952,0.016673855483531952,0.04820730909705162,0.000600192288402468,0.00023934533237479627,0.017648575827479362,0.04820730909705162,6,6,0,True,0.0021232254803180695,0.04608408361673355,16,-57,0.0009502090397290885,107,107,0,False,0.002025482477620244,-0.0010752734378911555,16,44,missed,0.0011429378064349294,98,98,1,False,0.0022696652449667454,-0.001126727438531816,17,35,missed
0,1,65,27135,487,15584,15615,False,0.01653544045984745,0.01653544045984745,0.007573496550321579,8.296698069898412e-05,0.002539148321375251,0.05594615265727043,0.05594615265727043,3,3,3,True,0.004964205902069807,0.050981946755200624,7,-60,0.008825676515698433,34,34,3,True,0.004832535050809383,0.0039931414648890495,7,-29,intersection,0.003328562481328845,69,69,0,False,0.004566277377307415,-0.00123771489597857,4,6,missed
0,3,74,29695,654,20928,20959,False,0.014565094374120235,0.014565309509634972,4.423535574460402e-05,0.05762142688035965,0.0002335018798476085,0.00036121593439020216,0.057622283697128296,11,11,1,True,0.006363167427480221,0.051259116269648075,13,-52,0.006743057630956173,50,50,1,True,0.0054766093380749226,0.0012664482928812504,13,-13,intersection,0.0037443048786371946,98,98,1,False,0.005000415723770857,-0.0012561108451336622,13,35,missed
0,3,74,29695,656,20992,21023,False,0.01453080028295517,0.014531015418469906,8.536286622984335e-05,0.057484183460474014,0.00023550839978270233,0.0003181476495228708,0.05748504027724266,12,12,1,True,0.006363167427480221,0.05112187284976244,13,-51,0.005906049162149429,59,59,1,True,0.0054766093380749226,0.00042943982407450676,13,-4,intersection,0.002678772434592247,138,138,1,False,0.005000415723770857,-0.00232164328917861,13,75,missed
0,2,77,26111,563,18016,18047,False,0.014328505843877792,0.014328505843877792,0.003188320202752948,0.05410786345601082,8.517943570041098e-06,9.32072816794971e-06,0.05410786345601082,2,2,1,True,0.004552478436380625,0.049555385019630194,9,-61,0.3929326832294464,2,2,1,True,0.004783636890351772,0.38814904633909464,9,-61,intersection,0.003264553612098098,89,89,1,False,0.005852850154042244,-0.002588296541944146,9,26,missed
0,3,71,28159,739,23648,23679,False,0.01335182599723339,0.013352437876164913,0.0003139259642921388,0.049970947206020355,0.001230560359545052,0.001891869818791747,0.049973271787166595,5,5,1,True,0.008172820322215557,0.04180045146495104,13,-58,0.012449315749108791,29,29,1,True,0.00700569711625576,0.005443618632853031,13,-34,intersection,0.003959956578910351,106,106,3,False,0.007178653031587601,-0.00321869645267725,15,43,missed
0,3,77,24831,640,20480,20511,False,0.01323892641812563,0.013238953426480293,0.0007887455867603421,0.00721831526607275,0.0019532472360879183,0.0429953970015049,0.04299549758434296,4,4,3,True,0.0035947130527347326,0.039400784531608224,15,-59,0.04327607899904251,5,5,3,True,0.0034308501053601503,0.03984522889368236,15,-58,intersection,0.0027487187180668116,93,93,1,False,0.0038037006743252277,-0.0010549819562584162,13,30,missed
0,7,72,28159,533,17056,17087,False,0.011945643462240696,0.011945643462240696,2.6878675271291286e-05,0.001495923032052815,0.02761579304933548,0.018643978983163834,0.02761579304933548,5,5,2,True,0.0030439780093729496,0.02457181503996253,30,-58,0.018632015213370323,14,14,2,True,0.0035169937182217836,0.01511502149514854,30,-49,intersection,0.002363373525440693,91,91,2,False,0.003291917499154806,-0.0009285439737141132,30,28,missed
0,3,74,25855,797,25504,25535,False,0.011127293109893799,0.01112730149179697,0.008194361813366413,0.023321539163589478,0.012832765467464924,0.0001605078432476148,0.023321550339460373,7,7,1,True,0.0029867517296224833,0.02033479860983789,13,-56,0.010604173876345158,19,19,2,True,0.003981138579547405,0.006623035296797752,14,-44,intersection,0.0038706501945853233,71,71,2,False,0.00445814011618495,-0.0005874899215996265,14,8,missed
0,7,72,31999,655,20960,20991,False,0.010032972320914268,0.010032972320914268,2.7808478989754803e-05,0.0011014742776751518,0.035637907683849335,0.0033646970987319946,0.035637907683849335,4,4,2,True,0.0033073152881115675,0.03233059239573777,30,-59,0.009982063435018063,26,26,2,True,0.0033985369373112917,0.006583526497706771,30,-37,intersection,0.0023255443666130304,85,85,0,False,0.002913553500548005,-0.0005880091339349747,28,22,missed
0,3,77,24831,642,20544,20575,False,0.009772918187081814,0.009772935882210732,0.0011563353473320603,0.00745138106867671,0.0025705720763653517,0.02791338413953781,0.027913449332118034,6,6,3,True,0.0035947130527347326,0.024318736279383302,15,-57,0.049214426428079605,4,4,3,True,0.0034308501053601503,0.045783576322719455,15,-59,intersection,0.0030757456552237272,82,82,1,False,0.0038037006743252277,-0.0007279550191015005,13,19,missed
0,3,74,29695,689,22048,22079,False,0.009751961566507816,0.009752105921506882,3.069972444791347e-05,0.038558363914489746,9.448370838072151e-05,0.0003242965030949563,0.03855893760919571,14,14,1,True,0.006363167427480221,0.03219577018171549,13,-49,0.0028983675874769688,131,131,1,False,0.0054766093380749226,-0.002578241750597954,13,68,missed,0.0025130552239716053,146,146,1,False,0.005000415723770857,-0.0024873604997992516,13,83,missed
0,6,69,28927,851,27232,27263,False,0.009622955694794655,0.00962303951382637,0.0342431515455246,0.002336498349905014,0.0002473664644639939,0.0016648063901811838,0.0342431515455246,5,5,0,True,0.004856395069509745,0.029386756476014853,24,-58,0.011242056265473366,24,24,0,True,0.005408057942986488,0.0058339983224868774,24,-39,intersection,0.0022882409393787384,164,164,0,False,0.004666861612349749,-0.00237862067297101,24,101,missed
0,3,69,30719,912,29184,29215,False,0.009563258849084377,0.009563258849084377,0.0007021076744422317,0.015231422148644924,0.021712196990847588,0.0006073062540963292,0.021712196990847588,13,13,2,True,0.003848960157483816,0.01786323683336377,14,-50,0.009992687031626701,24,24,1,True,0.0043108356185257435,0.005681851413100958,13,-39,intersection,0.003329819068312645,79,79,1,False,0.0040589747950434685,-0.0007291557267308235,13,16,missed
0,7,78,31487,638,20416,20447,False,0.009178947657346725,0.009178947657346725,1.6640335161355324e-05,0.0020210938528180122,0.010588872246444225,0.024089183658361435,0.024089183658361435,9,9,3,True,0.002452058019116521,0.021637125639244914,31,-54,0.011378451250493526,24,24,3,True,0.00322703062556684,0.008151420624926686,31,-39,intersection,0.00234988029114902,68,68,3,False,0.002571074292063713,-0.00022119400091469288,31,5,missed
0,1,78,25855,761,24352,24383,False,0.009090684354305267,0.009090684354305267,0.002163086785003543,0.033945921808481216,2.3909447918413207e-05,0.00022982068185228854,0.033945921808481216,12,12,1,True,0.003681645728647709,0.030264276079833508,5,-51,0.02445964142680168,16,16,1,True,0.0038049682043492794,0.020654673222452402,5,-47,intersection,0.0017513050697743893,65,65,0,False,0.0021336388308554888,-0.0003823337610810995,4,2,missed
