layer	chordal_squared	union_rank_95	advantage_mse
0	0.8718358998497328	1606	0.007536304090996971
1	0.8295250212152799	1557	0.013991656697831326
2	0.8153247833251953	1538	0.024378891015029144
3	0.8281955036024252	1546	0.01663663573725701
4	0.8442830443382263	1578	0.03294493654903246
5	0.8355281328161558	1562	0.024715724469636935
6	0.8545136625568072	1595	0.039352424954609534
7	0.8319821084539095	1561	0.035812467057862854
8	0.8467336197694143	1589	0.05122895729014344
9	0.8204037447770437	1545	0.03746686923405466
10	0.8485612124204636	1588	0.056410510204342554
11	0.8478927438457807	1590	0.05267163285571924
12	0.84104173630476	1564	0.03413305431983966
13	0.8408145854870478	1571	0.03620128322571804
14	0.8533080170551935	1590	0.05113166206602306
15	0.8245184570550919	1533	0.04160054209892721
16	0.8285587206482887	1543	0.044947772704213
17	0.8428918446103731	1568	0.03456737345835796
18	0.824397844572862	1539	0.03875306539356798
19	0.8658541416128477	1618	0.03494275071376405
20	0.8207280312975248	1545	0.04091465026936286
21	0.8436235239108404	1570	0.04761974381134068
22	0.8502301499247551	1570	0.04186894585407847
23	0.8749893742303053	1632	0.05080039811697025
24	0.8692935133973757	1614	0.03281624973525687
25	0.869836762547493	1622	0.05200928474924507
26	0.8755032395323118	1630	0.06457579307408962
27	0.8704546354711056	1623	0.05070377629528599
28	0.8657209177811941	1607	0.057209709453536636
29	0.8466752295692762	1578	0.05076774514249452
30	0.8793631928662459	1643	0.048248704373031776
31	0.8816578313708305	1648	0.07130719541425092
32	0.8704617408414682	1624	0.048411632206784544
33	0.8696361631155014	1616	0.06028876436740202
34	0.8612286647160848	1599	0.02028518389348185
35	0.8639844382802645	1617	0.011802503855660387
