layer,local_raw,all_raw,local_c1,all_c1,shuffled_all_raw,shuffled_all_c1
0,0.8059816165819431,0.9177366937251683,0.7720939731795331,0.8933549649623365,-0.0005359348372974693,-0.0003656374165495191
1,0.6054314369181473,0.9194912962803172,0.52043727694959,0.8728367916506967,-0.0005932668025995513,-0.00038456744262491127
2,0.4803515786300155,0.8295941587769775,0.4156945931546009,0.7532468619096896,-0.000756144579052126,-0.0004812601128953986
3,0.5131219751984003,0.8698171614367916,0.44335604295330994,0.8117375479208586,-0.0009944099242796545,-0.0006599788959040787
4,0.48874222975296744,0.8098198488106148,0.4249104343692234,0.7406909143514133,-0.0010406517347400779,-0.0006567560524394223
5,0.5302226112457824,0.8331936834179581,0.4611881132303687,0.7756364872636372,-0.0009978523854937138,-0.0006366503945597624
6,0.5115306958727092,0.8326486984757828,0.43055733475648267,0.7677989522933211,-0.0007469000499798206,-0.00046292036287864935
7,0.4775305550673531,0.8296080356227051,0.40594002393205986,0.7664238209124115,-0.0008177054135903028,-0.0005222297250677133
8,0.4711731669765179,0.8175775759681458,0.40965292161943856,0.7576405712056125,-0.0008788150256212879,-0.0005611668521209312
9,0.40832957048290786,0.7572213261189902,0.3498896757581309,0.6875990851759948,-0.0009549191656293976,-0.00063053124590845
10,0.47262793259039676,0.8027627399690068,0.405499839565444,0.7403517954715976,-0.001422399886059772,-0.0009786819821532011
11,0.5003236133653954,0.8151626718163418,0.44054782011247795,0.7643601028095897,-0.0014808948478498285,-0.0010094111298229735
12,0.5578386482685197,0.856473897233334,0.4948821912948035,0.810728264462302,-0.0017474927436595122,-0.001241055781606576
13,0.5605687882579029,0.8001618191880198,0.4993057122199922,0.7444716238373972,-0.0012405568670620926,-0.0008055676176949578
14,0.6381561502185238,0.8737681294809008,0.5778558918503837,0.8284926355919414,-0.0010956028936970341,-0.0007280536663966108
15,0.6023607078243052,0.8362772268400518,0.549724762662656,0.792249301566839,-0.0010887047874197642,-0.0007211919119760324
16,0.4743561530275756,0.8223142252385613,0.4143556828326237,0.7659979196125091,-0.0009917121622539382,-0.0006453975435845305
17,0.623286944484449,0.8521523725642182,0.5706289318761453,0.8093092641236536,-0.0013466363620697752,-0.0009026977490006749
18,0.5816978589435055,0.8937946802348504,0.5316158459600737,0.8570235900364904,-0.0012266820321339411,-0.0007944349608661749
19,0.5279179638057763,0.818584051592997,0.47146594438108247,0.7703368150637606,-0.0011417846006003818,-0.0007362191218772685
20,0.6007864786725305,0.8551902455015561,0.5456813411624655,0.8057206119381841,-0.0010652566753482917,-0.0006812918818561997
21,0.5951976886756445,0.8742873198285701,0.5441633722540582,0.8326961615686677,-0.0010560927737649217,-0.0006463346666756298
22,0.47630968215629355,0.7807107489213507,0.41494054049383516,0.7212518836950125,-0.0013785892119357601,-0.0009154651407931869
23,0.48854990108985735,0.7846516760349549,0.41904133222473644,0.7173459020521907,-0.0011237268639510412,-0.0007600651690470028
24,0.4031373610058563,0.7779042643161227,0.33186201603721643,0.7071463395150834,-0.0015394017450612585,-0.0010860566516700532
25,0.4459889586855632,0.7463260980953912,0.3947858240586878,0.6842399198778302,-0.0013560709907778912,-0.0009037039114671019
26,0.3203224957891573,0.6978942054623245,0.26741041345833516,0.6212627821285053,-0.0014547944751012731,-0.0009586898006395395
27,0.3843939015091606,0.7204907466880991,0.329797862455648,0.6500216835345132,-0.0018020251506978002,-0.001241791595821301
28,0.47972933525194983,0.8223061021330172,0.423513557897895,0.7733459403011078,-0.0014986539454551473,-0.0010008526319007505
29,0.26698815405694193,0.6919396266084631,0.20043139128614523,0.5940239972998111,-0.001509769241503256,-0.000988416077065124
30,0.28924553777462,0.6518607538415198,0.24057335029469498,0.5679793601088229,-0.002147067237087963,-0.0016058379556007363
31,0.3251464156828048,0.7404914279465787,0.2540706523874491,0.6374731793085442,-0.0016616932786261696,-0.0011279361301122226
32,0.31605535975291676,0.6614599212917076,0.25964928207248805,0.5834600426064995,-0.0018543005406193858,-0.00129620778909742
33,0.25074778147281773,0.6466988034547059,0.19131312204769918,0.5553866664327229,-0.0015118531854121653,-0.0010052160680180944
34,0.27114565897454207,0.6611773780897064,0.22571429592551678,0.5782164115807783,-0.002019768061324728,-0.0014279309620607306
35,0.28533316695700955,0.6768581034724328,0.2418967673346077,0.6066057638782862,-0.0024732887052490438,-0.0017863424544830586
