layer,all_raw_r4,all_raw_r8,all_raw_r16,all_raw_r24,all_raw_r32,all_raw_r48,all_raw_r64,all_raw_r80,all_raw_r128,all_c1_r4,all_c1_r8,all_c1_r16,all_c1_r24,all_c1_r32,all_c1_r48,all_c1_r64,all_c1_r80,all_c1_r128
0,0.8525553542936507,0.8655165019744812,0.8775649379359272,0.8853971594192103,0.8914054250564362,0.9003636632166218,0.9067674802726448,0.9114960186765796,0.9177366937238237,0.8385796033758248,0.8509303224027929,0.8619976959558999,0.8688064266558206,0.8738429462435001,0.8810645040542228,0.8859123311811342,0.8892745731640093,0.8933549649610357
1,0.39577648788400377,0.5069861223048969,0.6243479094190127,0.6953957767952672,0.7481380516359546,0.8213637549681067,0.8668459651833935,0.8947387418151037,0.9194912962797477,0.38618967381778313,0.49404863316964603,0.6064496749580264,0.6733005713121158,0.7221836294602133,0.789004757399227,0.8293669158947097,0.8531204666641058,0.8728367916501549
2,0.28076417213167404,0.3786788631867374,0.49538816807495895,0.5731014499220721,0.6287473418141742,0.7032894899671862,0.7546987440941799,0.7914831455602358,0.8295941587768241,0.27154051316070493,0.36362752245683516,0.46911226286832736,0.5379515626593553,0.5874330163419275,0.6526760240214625,0.6954676513711233,0.7245865285997662,0.7532468619095476
3,0.28569151546608884,0.39913549623978156,0.5353969708405707,0.6245528093355361,0.6876624743481419,0.7666737092016228,0.813069361799204,0.8410372124917156,0.8698171614366024,0.2808829863620076,0.3895237133500149,0.5182878266263675,0.6004586448450238,0.657270808564961,0.7272027961370606,0.766799329426284,0.7897254515700618,0.8117375479206801
4,0.3858594205104477,0.47819232349450036,0.5728394812641953,0.6286791810541512,0.6680406733923049,0.7221767112457189,0.7572919445060627,0.7811230427962345,0.8098198488103294,0.3671849924236834,0.45420145567643694,0.5416445338021223,0.5918711736802011,0.6264667401926858,0.6725505076939126,0.7013277018469798,0.7199352328808502,0.7406909143511505
5,0.3269688042268742,0.4283142067235941,0.5479909898967245,0.6237071531072864,0.6782404360764849,0.7482412943998751,0.7894616048662486,0.8141072842028123,0.8331936834175306,0.31803506762313843,0.41439597017594626,0.5262161118995858,0.5956886040394682,0.6445632842932445,0.7060161497152686,0.740966621137051,0.760989139840823,0.7756364872632397
6,0.3218517723223334,0.42777048263913364,0.5414745611318671,0.6098261743750385,0.6589944598215761,0.7269375575814156,0.7718004225170758,0.802316966143638,0.8326486984755732,0.31199883311374993,0.4121059285496746,0.5172266044023661,0.5796938187136893,0.6238210322223935,0.6831964535874879,0.7211052212466097,0.7454141513392162,0.7677989522931263
7,0.2843516211356957,0.391520645099774,0.5166591388840571,0.5981609311619462,0.6561900658902198,0.7273306557144043,0.7689825234074416,0.7970111909093436,0.8296080356225735,0.27800206719979,0.3804419896599915,0.49659685592825664,0.5695168024405841,0.6204715461386769,0.683455212120901,0.7190598500638145,0.7418396597603812,0.7664238209122884
8,0.28610595680289197,0.3922589038143621,0.5132649432788283,0.5879955523584359,0.6419431033481862,0.715522639588243,0.7624735236701772,0.7923954247781992,0.8175775759678676,0.27863072179422504,0.3797119163550202,0.4934907954417437,0.5623173473811358,0.6108927339173689,0.6755433011665684,0.7150204163594477,0.738987393615249,0.7576405712053533
9,0.25452627513831333,0.3576633318562634,0.4817851150845339,0.5591046442457971,0.6125156213864125,0.679969472343867,0.7177162735701326,0.7389716448432753,0.7572213261189155,0.24632800244398328,0.34234666214792775,0.45560941745499467,0.5233889535654617,0.5693033188519381,0.6266220076987837,0.6576857436800547,0.6743101594623372,0.6875990851759252
