layer,dense_v_r4,dense_v_r8,dense_v_r16,dense_v_r24,dense_v_r32,dense_v_r48,dense_v_r64,dense_v_r80,dense_v_r128,c1_v80_r4,c1_v80_r8,c1_v80_r16,c1_v80_r24,c1_v80_r32,c1_v80_r48,c1_v80_r64,c1_v80_r80,shuffled_dense_v_r4,shuffled_dense_v_r8,shuffled_dense_v_r16,shuffled_dense_v_r24,shuffled_dense_v_r32,shuffled_dense_v_r48,shuffled_dense_v_r64,shuffled_dense_v_r80,shuffled_dense_v_r128,shuffled_c1_v80_r4,shuffled_c1_v80_r8,shuffled_c1_v80_r16,shuffled_c1_v80_r24,shuffled_c1_v80_r32,shuffled_c1_v80_r48,shuffled_c1_v80_r64,shuffled_c1_v80_r80,k_pca_r4,k_pca_r8,k_pca_r16,k_pca_r24,k_pca_r32,k_pca_r48,k_pca_r64,k_pca_r80,k_pca_r128
0,0.7754634164241632,0.785522194367004,0.7931604935346865,0.7972896837293735,0.7999244474947013,0.8031182460914238,0.8047742512209028,0.8055692309041727,0.8059816165819431,0.7473693769993904,0.7563889556128721,0.7630735025337889,0.7664617817182967,0.7685864955677908,0.7708491910547497,0.7718176356071292,0.7720939731795331,-5.3625218478348113e-05,-5.5129635794876064e-05,-5.664080090006518e-05,-5.7773678563938224e-05,-5.857043346205182e-05,-5.965016137060575e-05,-6.027282801390754e-05,-6.059754484710744e-05,-6.080041177841666e-05,-3.426918989177241e-05,-3.529348312361624e-05,-3.628780617012661e-05,-3.699594648687299e-05,-3.753960961563885e-05,-3.8175550965607874e-05,-3.847044260463228e-05,-3.855772624564158e-05,0.8872004421918229,0.9026204751941908,0.918972973496645,0.9310657650788807,0.9412642139636431,0.9581812959392763,0.9717807809594882,0.9827839928619646,0.9999999999999989
1,0.3114482653088955,0.3939116290695339,0.47357547235349334,0.5173483282894122,0.5453444097408674,0.5789092244629395,0.5953914920282012,0.602413114717074,0.6054314369181473,0.2799536757475491,0.35309511211387834,0.42348822647526985,0.460569136197856,0.48336647274354666,0.5084644505027096,0.5180848347685931,0.52043727694959,-3.8858185824747205e-05,-5.083545661735411e-05,-6.133916319528421e-05,-6.73366572340739e-05,-7.112594202576816e-05,-7.60756800611273e-05,-7.816777647626227e-05,-7.92607649098831e-05,-7.969016646627858e-05,-2.441654934043358e-05,-3.1939165397038005e-05,-3.8907904292395656e-05,-4.3087939729069547e-05,-4.5149782173348196e-05,-4.778990789219839e-05,-4.879650606448571e-05,-4.902198425879578e-05,0.41470530411855244,0.5312380135183405,0.6567852762589741,0.7348281865893813,0.793645352580705,0.8773686980505436,0.9314507231232947,0.9663817342157741,0.9999999999999996
2,0.2089623193638925,0.2734391735166343,0.34279829470078116,0.38518573829037744,0.41378849717249055,0.4491343868674913,0.46753027322688645,0.47628647192058843,0.4803515786300155,0.19295304169495547,0.2506717368710285,0.31255415535704667,0.34918752952466386,0.37321010984568603,0.4006505684964901,0.41239695636029855,0.4156945931546009,-4.1940167577997345e-05,-5.476872774529129e-05,-6.946783552169711e-05,-7.822610991545242e-05,-8.409268956580118e-05,-9.038941169903225e-05,-9.385109043033579e-05,-9.55362108632507e-05,-9.626867888268276e-05,-2.6639898790981054e-05,-3.575026217500499e-05,-4.500903929433031e-05,-5.013660724800806e-05,-5.337794339949076e-05,-5.701373149261113e-05,-5.861821753921914e-05,-5.8996238804648327e-05,0.3023787947664781,0.4129583374303474,0.5521209219970487,0.648187479630508,0.7170205803396559,0.814071269530622,0.8856122001053922,0.9402289902629152,1.0000000000000002
3,0.22942496329065834,0.3065978706442361,0.38722800155021486,0.43181608713652003,0.45970380954844625,0.49066996766288673,0.5046250142362804,0.5105361988276853,0.5131219751984003,0.2129782784547175,0.28193206926285463,0.35305208021599577,0.38984540644605725,0.4116691068845762,0.4337453166382913,0.4414516578565779,0.44335604295330994,-6.662957982145334e-05,-8.630159566619389e-05,-0.00010826383153450525,-0.00011855188629061875,-0.0001249482741076391,-0.00013166619506849164,-0.00013473837476019046,-0.00013622331275239818,-0.00013686912522328787,-4.739794246688689e-05,-6.02369538592884e-05,-7.430485365764183e-05,-8.083371301720321e-05,-8.44712832277772e-05,-8.859365123850549e-05,-8.995098399530721e-05,-9.035211872573945e-05,0.29647391714506066,0.4201399074581679,0.5730733506949053,0.6772401553115649,0.7539215159908937,0.8531135783205577,0.9147098138149989,0.9544561158449502,0.9999999999999996
4,0.2722937417983987,0.3328995313792257,0.39197595508502414,0.42387740168271987,0.44461076317046544,0.4686139759516413,0.48050497603396924,0.48602235674714084,0.48874222975296744,0.24890172653655726,0.3024270505176565,0.3543891873705256,0.3814380231598686,0.3984143298572842,0.4160329953055914,0.42304393216897895,0.4249104343692234,-9.880372989157227e-05,-0.00011906297880470706,-0.00013597321629357784,-0.00014437358232022302,-0.00014968151147037867,-0.00015561810622113925,-0.00015840481527018557,-0.00015983184975207343,-0.00016062104098560348,-6.390361372241027e-05,-7.670393541894804e-05,-8.819401042262087e-05,-9.35996358109592e-05,-9.69698711811573e-05,-0.0001001251548305715,-0.0001014578719814585,-0.00010182778903355949,0.43414067235518256,0.5402710062167055,0.6535274812963644,0.7248208628622471,0.777643471042758,0.8549211927648348,0.908416473104375,0.9474298323356438,0.9999999999999999
5,0.2649938465347589,0.33783324378045776,0.4141548010609526,0.45572193389024507,0.4820189771795591,0.5103643499455927,0.5229274301771764,0.5281518399449799,0.5302226112457824,0.24665287070906491,0.31186266663302015,0.3781306865862312,0.4124857215720705,0.4328686373829492,0.4526868696615672,0.45959838979596046,0.4611881132303687,-6.763407122895027e-05,-8.790510601383583e-05,-0.00010633910853485862,-0.0001173347927445334,-0.00012417118790319925,-0.0001310368247036675,-0.00013410194030336053,-0.00013539116544861174,-0.00013597936736922667,-4.35424504766635e-05,-5.662911003578852e-05,-6.886637378250571e-05,-7.520958255308186e-05,-7.919105588066744e-05,-8.302265813406318e-05,-8.434196631196267e-05,-8.47125749797728e-05,0.35060326550872417,0.4658352344809005,0.6084514173188533,0.7033738015761414,0.7740380356305183,0.8688874683900001,0.9288215715068548,0.9669903584139183,0.9999999999999996
6,0.24936876118635923,0.3194100267138401,0.38666580599537276,0.42580361823107055,0.4518448485278187,0.4840160453289307,0.5009249110154792,0.5085320758525422,0.5115306958727092,0.2256306269237341,0.2857161399316925,0.34293287096231445,0.3751340262957503,0.3957418116817635,0.41910363796628725,0.42825819404638626,0.43055733475648267,-3.860135832445266e-05,-5.109223569782495e-05,-6.471941699767725e-05,-7.266667181596298e-05,-7.809999832444903e-05,-8.39432616604463e-05,-8.698877835186525e-05,-8.847152682728288e-05,-8.92197593184707e-05,-2.5421822256121995e-05,-3.2370724537822415e-05,-4.120690017589412e-05,-4.63429400125448e-05,-4.9553412869135505e-05,-5.2904058279373833e-05,-5.4266799760727125e-05,-5.474078528833193e-05,0.34323987635196995,0.4623065563475903,0.597477686356347,0.6822932522745289,0.745420826253677,0.8358612706437593,0.8998108726654029,0.9467679359764625,1.0000000000000004
7,0.2263597474259978,0.29365409917073665,0.36065619242340896,0.3982696966219986,0.4230005603319972,0.45261109791670856,0.4672324641198295,0.4742353248710536,0.4775305550673531,0.20874777737985795,0.26693669476777515,0.3237403970337509,0.3543675087865774,0.3737306907182328,0.395010252577443,0.4035717991493413,0.40594002393205986,-4.678714969924558e-05,-6.230057406733658e-05,-7.793783635701157e-05,-8.812474220101785e-05,-9.410213888774721e-05,-0.00010076683571824674,-0.00010406683723399035,-0.00010558115195180573,-0.00010637889498435471,-2.9620905296123823e-05,-3.9521691010069304e-05,-5.072997338251284e-05,-5.652398959801741e-05,-6.0442688953499246e-05,-6.383121233349831e-05,-6.529982874944884e-05,-6.575883734888377e-05,0.3001454354938975,0.4201731976774454,0.5694886546774777,0.6730700539607595,0.7477372193997117,0.8407251020592119,0.9001169017656651,0.9436850772245615,1.0000000000000002
8,0.20135188700454662,0.2693055713454621,0.3428293401747734,0.38443769475583256,0.41214724892515253,0.4453561707718612,0.46179963670581237,0.4687279247832113,0.4711731669765179,0.18624785557408902,0.24776938991002195,0.31352505281877086,0.34958577277877706,0.372834288738007,0.3979985396578961,0.4075392831127122,0.40965292161943856,-5.461690415661802e-05,-7.293344876294072e-05,-9.137249667717784e-05,-0.0001008610423262335,-0.00010655428687364465,-0.00011394417695953507,-0.00011738146456946597,-0.00011888330310927397,-0.00011961155480860741,-3.560721582243631e-05,-4.773911720895585e-05,-6.0592868067338435e-05,-6.631692554140423e-05,-6.993680251723977e-05,-7.414123131452288e-05,-7.564772109366902e-05,-7.611593559764263e-05,0.3118460816245482,0.4332001476588808,0.5759029334656963,0.6685279750062598,0.7386414827896085,0.8380745114075858,0.9062652000699849,0.9533782903952066,0.9999999999999999
9,0.1728004837137479,0.2334012518290398,0.30028976208334535,0.3374739278826079,0.360983194532787,0.38779994689482067,0.4006659901067358,0.4062070182267343,0.40832957048290786,0.15733340125601258,0.21097304707638403,0.2702305375198595,0.3010843437254762,0.32013921555085834,0.3401085783557632,0.3479564459975948,0.3498896757581309,-5.649148739458876e-05,-7.648169866017462e-05,-9.903929770008202e-05,-0.00011136459180141611,-0.00011889803583664538,-0.00012613892153567896,-0.00012898011394094078,-0.00013042069255506106,-0.00013095714098532163,-4.041159664827654e-05,-5.460230971199298e-05,-6.995339618262597e-05,-7.742079567008009e-05,-8.221756103757305e-05,-8.624884899241514e-05,-8.745130326728856e-05,-8.778523712238417e-05,0.2831642115914835,0.41334681086555536,0.5816695413366908,0.6916901028973983,0.769851401495061,0.8702483884260805,0.9288542372641402,0.9647921498371608,1.0
