layer,q32.conditions,q32.mean_intersection_pages,q32.page_overlap,q32.non_pinned_page_overlap,uniform8.conditions,uniform8.mean_intersection_pages,uniform8.page_overlap,uniform8.non_pinned_page_overlap,qgram8.conditions,qgram8.mean_intersection_pages,qgram8.page_overlap,qgram8.non_pinned_page_overlap
0,4096,55.348388671875,0.8648185729980469,0.8626728360615079,4096,52.353271484375,0.8180198669433594,0.8151312934027778,4096,51.308349609375,0.8016929626464844,0.7985452318948413
1,4096,54.671142578125,0.8542366027832031,0.8519228980654762,4096,52.385498046875,0.8185234069824219,0.815642826140873,4096,51.425048828125,0.8035163879394531,0.8003976004464286
2,4096,51.994873046875,0.8124198913574219,0.8094424293154762,4096,50.33837890625,0.7865371704101562,0.7831488715277778,4096,49.190185546875,0.7685966491699219,0.764923580109127
3,4096,49.3974609375,0.7718353271484375,0.7682136656746031,4096,46.18896484375,0.7217025756835938,0.71728515625,4096,44.53125,0.69580078125,0.6909722222222222
4,4096,54.0634765625,0.8447418212890625,0.8422774057539683,4096,51.992919921875,0.8123893737792969,0.8094114273313492,4096,51.757568359375,0.8087120056152344,0.8056756882440477
5,4096,54.146728515625,0.8460426330566406,0.8435988653273809,4096,50.803466796875,0.7938041687011719,0.7905312189980159,4096,50.0556640625,0.7821197509765625,0.7786613343253969
6,4096,52.008056640625,0.8126258850097656,0.8096516927083334,4096,49.996826171875,0.7812004089355469,0.7777273995535714,4096,49.148193359375,0.7679405212402344,0.7642570374503969
7,4096,46.14697265625,0.7210464477539062,0.7166186135912699,4096,43.75390625,0.68365478515625,0.6786334325396826,4096,42.6923828125,0.6670684814453125,0.6617838541666666
8,4096,53.992919921875,0.8436393737792969,0.8411574590773809,4096,51.965087890625,0.8119544982910156,0.8089696490575397,4096,51.398681640625,0.8031044006347656,0.7999790736607143
9,4096,48.13232421875,0.7520675659179688,0.7481321304563492,4096,45.531005859375,0.7114219665527344,0.7068413628472222,4096,45.349609375,0.708587646484375,0.7039620535714286
10,4096,56.61767578125,0.8846511840820312,0.8828202504960317,4096,54.892333984375,0.8576927185058594,0.8554338727678571,4096,54.328125,0.848876953125,0.8464781746031746
11,4096,53.500732421875,0.8359489440917969,0.8333449590773809,4096,51.29296875,0.80145263671875,0.7983010912698413,4096,50.30810546875,0.7860641479492188,0.7826683407738095
12,4096,53.09375,0.82958984375,0.8268849206349206,4096,50.703857421875,0.7922477722167969,0.7889501178075397,4096,50.191650390625,0.7842445373535156,0.7808198474702381
13,4096,45.224853515625,0.7066383361816406,0.7019818018353174,4096,42.382568359375,0.6622276306152344,0.6568661644345238,4096,41.81689453125,0.6533889770507812,0.647887214781746
14,4096,54.98681640625,0.8591690063476562,0.85693359375,4096,52.75244140625,0.8242568969726562,0.8214673239087301,4096,52.474365234375,0.8199119567871094,0.8170534164186508
15,4096,50.653564453125,0.7914619445800781,0.7881518167162699,4096,47.528076171875,0.7426261901855469,0.7385408916170635,4096,46.961669921875,0.7337760925292969,0.7295503162202381
16,4096,51.18310546875,0.7997360229492188,0.7965572296626984,4096,48.504150390625,0.7578773498535156,0.7540341331845238,4096,48.314697265625,0.7549171447753906,0.7510269407242064
17,4096,53.295166015625,0.8327369689941406,0.8300820002480159,4096,51.295654296875,0.8014945983886719,0.7983437189980159,4096,50.951171875,0.796112060546875,0.7928757440476191
18,4096,53.087890625,0.829498291015625,0.8267919146825397,4096,50.99658203125,0.7968215942382812,0.7935965401785714,4096,50.285400390625,0.7857093811035156,0.7823079427083334
19,4096,53.112548828125,0.8298835754394531,0.8271833147321429,4096,50.83203125,0.79425048828125,0.790984623015873,4096,49.581298828125,0.7747077941894531,0.7711317274305556
20,4096,52.171875,0.815185546875,0.8122519841269841,4096,49.809814453125,0.7782783508300781,0.7747589595734127,4096,49.760009765625,0.7775001525878906,0.7739684089781746
21,4096,52.70068359375,0.8234481811523438,0.8206457713293651,4096,50.551513671875,0.7898674011230469,0.7865319630456349,4096,50.072021484375,0.7823753356933594,0.7789209759424603
