[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (289077 > 131072). Running this sequence through the model will result in indexing errors
LOAD V96 KV4
Loading weights:   0%|          | 0/291 [00:00<?, ?it/s]Loading weights: 100%|██████████| 291/291 [00:00<00:00, 9722.57it/s]
PPL 1/141 6.636741
PPL 2/141 8.749013
PPL 3/141 10.053251
PPL 4/141 9.580034
PPL 5/141 9.083342
PPL 6/141 8.179517
PPL 7/141 7.647733
PPL 8/141 7.533034
PPL 9/141 7.759635
PPL 10/141 7.741856
PPL 11/141 7.681544
PPL 12/141 7.876215
PPL 13/141 7.970518
PPL 14/141 8.083431
PPL 15/141 8.140533
PPL 16/141 8.327267
PPL 17/141 8.335371
PPL 18/141 8.357134
PPL 19/141 8.266950
PPL 20/141 8.263746
PPL 21/141 8.307315
PPL 22/141 8.335678
PPL 23/141 8.352293
PPL 24/141 8.402303
PPL 25/141 8.455617
PPL 26/141 8.546140
PPL 27/141 8.647617
PPL 28/141 8.689890
PPL 29/141 8.651759
PPL 30/141 8.563956
PPL 31/141 8.437264
PPL 32/141 8.338108
PPL 33/141 8.320508
PPL 34/141 8.290527
PPL 35/141 8.307153
PPL 36/141 8.171869
PPL 37/141 8.050692
PPL 38/141 7.930522
PPL 39/141 7.823954
PPL 40/141 7.760239
PPL 41/141 7.805736
PPL 42/141 7.930731
PPL 43/141 8.057919
PPL 44/141 8.103232
PPL 45/141 8.146160
PPL 46/141 8.183095
PPL 47/141 8.231512
PPL 48/141 8.248651
PPL 49/141 8.247387
PPL 50/141 8.241775
PPL 51/141 8.200421
PPL 52/141 8.167500
PPL 53/141 8.117958
PPL 54/141 8.098645
PPL 55/141 8.037660
PPL 56/141 7.975128
PPL 57/141 7.958458
PPL 58/141 7.928281
PPL 59/141 7.944831
PPL 60/141 7.982522
PPL 61/141 8.019550
PPL 62/141 8.074687
PPL 63/141 8.003139
PPL 64/141 7.986602
PPL 65/141 7.967653
PPL 66/141 7.924678
PPL 67/141 7.904328
PPL 68/141 7.885528
PPL 69/141 7.867595
PPL 70/141 7.883730
PPL 71/141 7.911880
PPL 72/141 7.935720
PPL 73/141 7.916752
PPL 74/141 7.924150
PPL 75/141 7.922856
PPL 76/141 7.910156
PPL 77/141 7.925316
PPL 78/141 7.939458
PPL 79/141 7.970370
PPL 80/141 7.939226
PPL 81/141 7.926665
PPL 82/141 7.915867
PPL 83/141 7.897580
PPL 84/141 7.877519
PPL 85/141 7.856853
PPL 86/141 7.868503
PPL 87/141 7.887596
PPL 88/141 7.902977
PPL 89/141 7.977395
PPL 90/141 8.043130
PPL 91/141 8.073089
PPL 92/141 8.117776
PPL 93/141 8.157438
PPL 94/141 8.166257
PPL 95/141 8.200686
PPL 96/141 8.205484
PPL 97/141 8.219923
PPL 98/141 8.198587
PPL 99/141 8.204433
PPL 100/141 8.223563
PPL 101/141 8.213395
PPL 102/141 8.221358
PPL 103/141 8.213431
PPL 104/141 8.239405
PPL 105/141 8.233157
PPL 106/141 8.228743
PPL 107/141 8.208845
PPL 108/141 8.189272
PPL 109/141 8.170353
PPL 110/141 8.144420
PPL 111/141 8.163818
PPL 112/141 8.157614
PPL 113/141 8.162144
PPL 114/141 8.167113
PPL 115/141 8.158687
PPL 116/141 8.150608
PPL 117/141 8.168427
PPL 118/141 8.160055
PPL 119/141 8.146561
PPL 120/141 8.127547
PPL 121/141 8.123272
PPL 122/141 8.128958
PPL 123/141 8.125068
PPL 124/141 8.125675
PPL 125/141 8.113951
PPL 126/141 8.115909
PPL 127/141 8.113991
PPL 128/141 8.105239
PPL 129/141 8.102322
PPL 130/141 8.106946
PPL 131/141 8.111683
PPL 132/141 8.115642
PPL 133/141 8.090372
PPL 134/141 8.049171
PPL 135/141 8.067255
PPL 136/141 8.092813
PPL 137/141 8.103412
PPL 138/141 8.094184
PPL 139/141 8.098469
PPL 140/141 8.107452
PPL 141/141 8.118527
COMPLETE formal 8.118527401543062
