task,samples_per_arm,full,ours,loki,lrqk,shadowkv
niah_single_1,30,100.0,100.0,100.0,100.0,100.0
niah_single_2,30,100.0,100.0,100.0,100.0,100.0
niah_single_3,30,100.0,100.0,100.0,100.0,100.0
niah_multikey_1,30,100.0,100.0,100.0,100.0,96.66666666666667
niah_multikey_2,30,100.0,100.0,100.0,100.0,100.0
niah_multiquery,30,97.5,97.5,98.33333333333333,99.16666666666667,95.0
niah_multivalue,30,89.16666666666667,85.0,85.83333333333333,84.16666666666667,84.16666666666667
vt,30,91.33333333333333,88.00000000000001,87.33333333333333,91.33333333333333,77.33333333333333
fwe,30,76.66666666666667,77.77777777777779,63.33333333333333,70.0,73.33333333333333
qa_1,30,70.0,66.66666666666666,66.66666666666666,70.0,63.33333333333333
qa_2,30,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,50.0
mean,330,88.9090909090909,88.02525252525253,86.8030303030303,88.0,85.43939393939394
