[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (2518423 > 131072). Running this sequence through the model will result in indexing errors
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 9572.31it/s]
FP8_CALIBRATION 1/16
FP8_CALIBRATION 2/16
FP8_CALIBRATION 3/16
FP8_CALIBRATION 4/16
FP8_CALIBRATION 5/16
FP8_CALIBRATION 6/16
FP8_CALIBRATION 7/16
FP8_CALIBRATION 8/16
FP8_CALIBRATION 9/16
FP8_CALIBRATION 10/16
FP8_CALIBRATION 11/16
FP8_CALIBRATION 12/16
FP8_CALIBRATION 13/16
FP8_CALIBRATION 14/16
FP8_CALIBRATION 15/16
FP8_CALIBRATION 16/16
PPL 1/146 102.024528
PPL 2/146 31.421649
PPL 3/146 22.686788
PPL 4/146 17.968721
PPL 5/146 24.923313
PPL 6/146 18.992108
PPL 7/146 15.204761
PPL 8/146 13.699131
PPL 9/146 12.904494
PPL 10/146 12.441648
PPL 11/146 11.932925
PPL 12/146 11.572340
PPL 13/146 11.263277
PPL 14/146 11.127296
PPL 15/146 10.970504
PPL 16/146 10.897928
PPL 17/146 10.920890
PPL 18/146 10.825967
PPL 19/146 10.628099
PPL 20/146 10.341323
PPL 21/146 10.191841
PPL 22/146 10.153979
PPL 23/146 10.033629
PPL 24/146 9.961692
PPL 25/146 9.913253
PPL 26/146 9.874230
PPL 27/146 9.887351
PPL 28/146 9.986689
PPL 29/146 9.986615
PPL 30/146 9.840999
PPL 31/146 9.697670
PPL 32/146 9.536639
PPL 33/146 9.336976
PPL 34/146 9.284316
PPL 35/146 9.826725
PPL 36/146 9.765698
PPL 37/146 9.600277
PPL 38/146 9.402255
PPL 39/146 9.257221
PPL 40/146 9.064585
PPL 41/146 8.936124
PPL 42/146 8.891741
PPL 43/146 8.937038
PPL 44/146 9.030457
PPL 45/146 9.094570
PPL 46/146 9.109125
PPL 47/146 9.118154
PPL 48/146 9.148307
PPL 49/146 9.175547
PPL 50/146 9.129050
PPL 51/146 9.142387
PPL 52/146 9.095354
PPL 53/146 9.042733
PPL 54/146 8.978587
PPL 55/146 8.897694
PPL 56/146 8.841580
PPL 57/146 8.758589
PPL 58/146 8.665850
PPL 59/146 8.624061
PPL 60/146 8.586074
PPL 61/146 8.584604
PPL 62/146 8.602766
PPL 63/146 8.632873
PPL 64/146 8.689322
PPL 65/146 8.649546
PPL 66/146 8.603114
PPL 67/146 8.598401
PPL 68/146 8.573142
PPL 69/146 8.542346
PPL 70/146 8.518390
PPL 71/146 8.477724
PPL 72/146 8.466554
PPL 73/146 8.481870
PPL 74/146 8.511985
PPL 75/146 8.500084
PPL 76/146 8.477603
PPL 77/146 8.472488
PPL 78/146 8.461366
PPL 79/146 8.447511
PPL 80/146 8.455131
PPL 81/146 8.458474
PPL 82/146 8.461234
PPL 83/146 8.419365
PPL 84/146 8.390746
PPL 85/146 8.373971
PPL 86/146 8.353595
PPL 87/146 8.329827
PPL 88/146 8.305820
PPL 89/146 8.312787
PPL 90/146 8.314767
PPL 91/146 8.320314
PPL 92/146 8.388756
PPL 93/146 8.453070
PPL 94/146 8.483627
PPL 95/146 8.519126
PPL 96/146 8.556875
PPL 97/146 8.570363
PPL 98/146 8.598709
PPL 99/146 8.593686
PPL 100/146 8.607102
PPL 101/146 8.588246
PPL 102/146 8.572095
PPL 103/146 8.584481
PPL 104/146 8.572737
PPL 105/146 8.582696
PPL 106/146 8.578585
PPL 107/146 8.583233
PPL 108/146 8.585105
PPL 109/146 8.571073
PPL 110/146 8.568579
PPL 111/146 8.556199
PPL 112/146 8.534406
PPL 113/146 8.512438
PPL 114/146 8.493129
PPL 115/146 8.502484
PPL 116/146 8.508982
PPL 117/146 8.523529
PPL 118/146 8.521498
PPL 119/146 8.513406
PPL 120/146 8.504906
PPL 121/146 8.517705
PPL 122/146 8.499234
PPL 123/146 8.478091
PPL 124/146 8.457944
PPL 125/146 8.455128
PPL 126/146 8.461722
PPL 127/146 8.457109
PPL 128/146 8.453006
PPL 129/146 8.441552
PPL 130/146 8.433270
PPL 131/146 8.419221
PPL 132/146 8.417413
PPL 133/146 8.407790
PPL 134/146 8.401874
PPL 135/146 8.418624
PPL 136/146 8.417319
PPL 137/146 8.392258
PPL 138/146 8.363278
PPL 139/146 8.338238
PPL 140/146 8.351058
PPL 141/146 8.373058
PPL 142/146 8.373388
PPL 143/146 8.375221
PPL 144/146 8.378549
PPL 145/146 8.385690
PPL 146/146 8.388993
ARM_COMPLETE 64 fp8 8.388992982568858
