[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (2518423 > 131072). Running this sequence through the model will result in indexing errors
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 9835.77it/s]
FP8_CALIBRATION 1/16
FP8_CALIBRATION 2/16
FP8_CALIBRATION 3/16
FP8_CALIBRATION 4/16
FP8_CALIBRATION 5/16
FP8_CALIBRATION 6/16
FP8_CALIBRATION 7/16
FP8_CALIBRATION 8/16
FP8_CALIBRATION 9/16
FP8_CALIBRATION 10/16
FP8_CALIBRATION 11/16
FP8_CALIBRATION 12/16
FP8_CALIBRATION 13/16
FP8_CALIBRATION 14/16
FP8_CALIBRATION 15/16
FP8_CALIBRATION 16/16
PPL 1/146 5.751352
PPL 2/146 7.125472
PPL 3/146 8.067095
PPL 4/146 8.093650
PPL 5/146 7.789912
PPL 6/146 7.086438
PPL 7/146 6.431662
PPL 8/146 6.370212
PPL 9/146 6.456952
PPL 10/146 6.611592
PPL 11/146 6.678410
PPL 12/146 6.758754
PPL 13/146 6.813954
PPL 14/146 6.945660
PPL 15/146 7.026646
PPL 16/146 7.135987
PPL 17/146 7.296266
PPL 18/146 7.371885
PPL 19/146 7.357212
PPL 20/146 7.268499
PPL 21/146 7.257907
PPL 22/146 7.318205
PPL 23/146 7.315287
PPL 24/146 7.349308
PPL 25/146 7.378396
PPL 26/146 7.414144
PPL 27/146 7.478880
PPL 28/146 7.605884
PPL 29/146 7.655813
PPL 30/146 7.589760
PPL 31/146 7.524725
PPL 32/146 7.433032
PPL 33/146 7.306567
PPL 34/146 7.295094
PPL 35/146 7.262450
PPL 36/146 7.255788
PPL 37/146 7.175302
PPL 38/146 7.067832
PPL 39/146 6.995821
PPL 40/146 6.889099
PPL 41/146 6.826703
PPL 42/146 6.827245
PPL 43/146 6.893778
PPL 44/146 6.996984
PPL 45/146 7.072336
PPL 46/146 7.103494
PPL 47/146 7.133452
PPL 48/146 7.185603
PPL 49/146 7.238241
PPL 50/146 7.228011
PPL 51/146 7.259336
PPL 52/146 7.246142
PPL 53/146 7.223570
PPL 54/146 7.193227
PPL 55/146 7.143034
PPL 56/146 7.114531
PPL 57/146 7.065120
PPL 58/146 7.007613
PPL 59/146 6.990542
PPL 60/146 6.972818
PPL 61/146 6.980510
PPL 62/146 7.009507
PPL 63/146 7.049081
PPL 64/146 7.111496
PPL 65/146 7.093501
PPL 66/146 7.068263
PPL 67/146 7.078376
PPL 68/146 7.066324
PPL 69/146 7.054247
PPL 70/146 7.046271
PPL 71/146 7.018311
PPL 72/146 7.011261
PPL 73/146 7.036325
PPL 74/146 7.073570
PPL 75/146 7.073758
PPL 76/146 7.067692
PPL 77/146 7.073314
PPL 78/146 7.075688
PPL 79/146 7.070666
PPL 80/146 7.088888
PPL 81/146 7.099103
PPL 82/146 7.109656
PPL 83/146 7.082668
PPL 84/146 7.066372
PPL 85/146 7.058543
PPL 86/146 7.051748
PPL 87/146 7.039844
PPL 88/146 7.025382
PPL 89/146 7.038416
PPL 90/146 7.048204
PPL 91/146 7.058240
PPL 92/146 7.125371
PPL 93/146 7.186633
PPL 94/146 7.220447
PPL 95/146 7.258953
PPL 96/146 7.298574
PPL 97/146 7.318640
PPL 98/146 7.351249
PPL 99/146 7.352309
PPL 100/146 7.369715
PPL 101/146 7.354036
PPL 102/146 7.342815
PPL 103/146 7.356138
PPL 104/146 7.347547
PPL 105/146 7.359189
PPL 106/146 7.357591
PPL 107/146 7.366116
PPL 108/146 7.373999
PPL 109/146 7.367341
PPL 110/146 7.370118
PPL 111/146 7.364350
PPL 112/146 7.350620
PPL 113/146 7.336429
PPL 114/146 7.325944
PPL 115/146 7.338416
PPL 116/146 7.348298
PPL 117/146 7.365500
PPL 118/146 7.369442
PPL 119/146 7.367874
PPL 120/146 7.365015
PPL 121/146 7.380049
PPL 122/146 7.370131
PPL 123/146 7.354714
PPL 124/146 7.340140
PPL 125/146 7.342263
PPL 126/146 7.352536
PPL 127/146 7.353175
PPL 128/146 7.354681
PPL 129/146 7.349392
PPL 130/146 7.345921
PPL 131/146 7.337192
PPL 132/146 7.340326
PPL 133/146 7.334890
PPL 134/146 7.332814
PPL 135/146 7.350154
PPL 136/146 7.352667
PPL 137/146 7.334837
PPL 138/146 7.314026
PPL 139/146 7.295120
PPL 140/146 7.308760
PPL 141/146 7.332330
PPL 142/146 7.335067
PPL 143/146 7.337425
PPL 144/146 7.343337
PPL 145/146 7.350971
PPL 146/146 7.354980
ARM_COMPLETE 96 kv4_fp8 7.354979978091612
