kernel,count,total_us,mean_us
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),7104,15442131.33299978,2173.7234421452395
_attention,2340,8296262.094999945,3545.411151709378
_decode,4572,4800196.428000007,1049.9117296587942
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8::Params),6984,3970091.778000049,568.4552946735465
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),14016,3541413.49999997,252.66934218036317
"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::BFloat16>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8, true>(c10::BFloat16*, long, c10::BFloat16*, c10::BFloat16 const*, float, int, int, long)",13824,1454085.0879995893,105.18555324071103
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize4x2x1_tensor16x8x32_algo2_execute_kernel__5x_cublas,2340,927089.1979999262,396.1919649572334
_v_stats,6912,382802.4979998908,55.38230584489161
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_64x3_tn,3420,152138.12100011855,44.48483070178905
"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &(c10::BFloat16 vllm::silu_kernel<c10::BFloat16>(c10::BFloat16 const&, float)), &(__nv_bfloat162 vllm::packed_silu_kernel<__nv_bfloat162>(__nv_bfloat162 const&, float)), true, true, false, false>(c10::BFloat16*, c10::BFloat16 const*, int, float, float, float)",6912,140603.0180000585,20.341871817138095
_append,13824,84875.00300042605,6.139684823526189
"void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true>(c10::BFloat16*, c10::BFloat16 const*, long, long, long, long, long, c10::BFloat16 const*, long, float, int, int)",13824,77743.8360001136,5.623830729174885
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,3420,71109.23899991065,20.792175146172706
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8::Params),2592,63224.30500022322,24.39209297848118
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize64x128x64_stage4_warpsize2x2x1_tensor16x8x32_algo2_execute_kernel__5x_cublas,3420,62833.8970002383,18.372484502993654
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn,164,41286.63700001687,251.7477865854687
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8>(cutlass_80_tensorop_s16816gemm_bf16_64x64_32x6_tn_align8::Params),3420,38600.99300023541,11.286840058548366
_unpack,6912,37205.000000239415,5.382667824108712
"void vllm::rotary_embedding_kernel<c10::BFloat16, c10::BFloat16, true>(long const*, c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, int, long, long, long, int, int, int, long, bool)",6912,36935.100999938666,5.343619936333719
_reset_pages,13824,35136.578999882746,2.54170855033874
