initialization,sweeps,rank,heldout_rel_mse,ppl,mcq_average,mean_cg_iters,max_cg_iters,cg_cap_hit_fraction,cg_converged_count,cg_solve_count,cg_mode,seed,checkpoint_path,evaluation_path
activation_aware,0,64,0.1435801243068017,8.608643958143949,0.6620807453088051,0.0,0,0.0,0,0,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_000,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_000/results.json
activation_aware,1,64,0.140257929674901,8.491343513690506,,16.0,16,1.0,0,288,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_001,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_001/results.json
activation_aware,2,64,0.13872015069787735,8.432984754271132,0.6640409389700964,16.0,16,1.0,0,576,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_002,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_002/results.json
activation_aware,4,64,0.13738037152277346,8.440779218237502,0.6637117742044086,16.0,16,1.0,0,1152,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_004,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_004/results.json
activation_aware,6,64,0.13680954632063438,8.674722542702064,0.6668191345575368,16.0,16,1.0,0,1728,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s6/r64_activation,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s6/r64_activation/results.json
activation_aware,8,64,0.13650152861370105,8.660814110389683,0.666210304458392,16.0,16,1.0,0,2304,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_008,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_008/results.json
activation_aware,12,64,0.13618200745197684,8.785685252785658,0.6678363054504818,16.0,16,1.0,0,3456,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_012,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_012/results.json
activation_aware,16,64,0.13601973725313235,8.781214897438822,0.6688570028546355,16.0,16,1.0,0,4608,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_activation/sweep_016,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_activation/sweep_016/results.json
random_orthogonal,0,64,0.21280663084342477,12.342244952339,0.6319277517678988,0.0,0,0.0,0,0,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_000,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_000/results.json
random_orthogonal,1,64,0.1762402356771622,9.13801121597629,,16.0,16,1.0,0,288,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_001,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_001/results.json
random_orthogonal,2,64,0.16000213754147022,8.841051517445582,0.6644549648754282,16.0,16,1.0,0,576,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_002,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_002/results.json
random_orthogonal,4,64,0.14695440004566218,8.616925139929062,0.6671669606236911,16.0,16,1.0,0,1152,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_004,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_004/results.json
random_orthogonal,6,64,0.14209310497685265,8.54581302999833,0.6693930210694139,16.0,16,1.0,0,1728,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s6/r64_random,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s6/r64_random/results.json
random_orthogonal,8,64,0.139797785028598,8.668689802227483,0.6714296072597438,16.0,16,1.0,0,2304,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_008,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_008/results.json
random_orthogonal,12,64,0.13777420110429642,8.510113709513753,0.6706980472259859,16.0,16,1.0,0,3456,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_012,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_012/results.json
