method,rank,layer,fit_rel_mse,heldout_rel_mse
Activation-aware group SVD,64,0,0.028528202717063265,0.027441772014144727
Activation-aware group SVD,64,1,0.07646087244835521,0.07587392884883142
Activation-aware group SVD,64,2,0.08685595287003667,0.08968774309315855
Activation-aware group SVD,64,3,0.08542990458112672,0.08726036252811531
Activation-aware group SVD,64,4,0.10973764612040808,0.1194676292357386
Activation-aware group SVD,64,5,0.11669953541490477,0.12022422638108543
Activation-aware group SVD,64,6,0.15874501421134463,0.16145516260611645
Activation-aware group SVD,64,7,0.18240840592690064,0.18516006255123751
Activation-aware group SVD,64,8,0.20315740842289665,0.20778755594108775
Activation-aware group SVD,64,9,0.20808168836011728,0.22678980500743354
Activation-aware group SVD,64,10,0.20088643977426088,0.21286579203743508
Activation-aware group SVD,64,11,0.18488602303744345,0.20147704002133415
Activation-aware group SVD,64,12,0.14682091747389941,0.15803427280357785
Activation-aware group SVD,64,13,0.16463245578279112,0.17418102012756795
Activation-aware group SVD,64,14,0.19641301765145214,0.20755554260954823
Activation-aware group SVD,64,15,0.19842519604688738,0.20740511437786363
Activation-aware group SVD,64,16,0.18931456439179797,0.20214016516173483
Activation-aware group SVD,64,17,0.12938892207047886,0.14741605504760177
Activation-aware group SVD,64,18,0.16952515637918986,0.18121700200357135
Activation-aware group SVD,64,19,0.1254541545930234,0.13262207199194032
Activation-aware group SVD,64,20,0.17604886468079972,0.19083588173405086
Activation-aware group SVD,64,21,0.20061716398736004,0.20855521851695139
Activation-aware group SVD,64,22,0.1692668805871459,0.17833175069213839
Activation-aware group SVD,64,23,0.1793205991132679,0.1909781810524036
Activation-aware group SVD,64,24,0.12156529491412917,0.13656343596979065
Activation-aware group SVD,64,25,0.17503101612440713,0.18536081987798192
Activation-aware group SVD,64,26,0.20438934456751318,0.2289564071544734
Activation-aware group SVD,64,27,0.18788050155646474,0.21112361714888245
Activation-aware group SVD,64,28,0.19212220865210267,0.20278347137783578
Activation-aware group SVD,64,29,0.20522023728379837,0.23594413305601836
Activation-aware group SVD,64,30,0.14825036985517417,0.16648120234256436
Activation-aware group SVD,64,31,0.19280908537709035,0.22172228263754679
Activation-aware group SVD,64,32,0.1542808102761841,0.17000526185963197
Activation-aware group SVD,64,33,0.1984796484064832,0.22249575792745804
Activation-aware group SVD,64,34,0.09054521242397705,0.10376093226745467
Activation-aware group SVD,64,35,0.06360947366901931,0.07002828097638873
Activation-aware group SVD,96,0,0.011068022689739727,0.01065896444533612
