model,method,rank,calibration_context,document,overall_nll,delta_nll,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k
Qwen3-8B-Base,Dense,128,,0,2.4086418643345118,0.0,1.8749288680565652,2.6043622776002007,2.484694925382118,2.3639261595567893,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,1,2.666680077576652,0.0,2.693816209766841,2.9941283315643914,2.656179057256302,2.5457458900321694,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,2,2.5574769711526604,0.0,2.3818866162349672,2.617811299450126,2.2939009604357894,2.6885857184680715,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,3,2.3105229007484636,0.0,0.7712399143394283,2.359737719588484,2.1823403050424193,2.548545527243211,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,4,2.081737267122405,0.0,1.9218005134142495,1.9601421773639676,2.056271814363437,2.160057805933634,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,5,2.4361421424888388,0.0,2.478099461240768,2.1002147061512657,2.4598392832660174,2.545022336100725,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,6,2.166135431171963,0.0,2.139701462276358,1.7826741356270908,2.332668942270428,2.2299705042136537,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Dense,128,,7,2.454945993991798,0.0,2.226806867398673,2.088568779092695,2.6337343830254336,2.5314571647594755,0.0,0.0,0.0,0.0
Qwen3-8B-Base,Joint C1,64,2048,0,2.6786479289555323,0.2700060646210205,1.9552327897829764,2.7488563871202367,2.722678269571805,2.7207204407931878,0.08030392172641121,0.14449410952003605,0.23798334418968725,0.35679428123639845
Qwen3-8B-Base,Joint C1,64,2048,1,2.958634633200109,0.29195455562345707,2.8217768346270597,3.185387966959602,2.880576150876332,2.9297365107395383,0.12796062486021853,0.19125963539521074,0.2243970936200297,0.3839906207073689
Qwen3-8B-Base,Joint C1,64,2048,2,2.8471902692845537,0.2897132981318933,2.4939926594853405,2.8782432910522213,2.540286045091826,3.0331418100751186,0.11210604325037332,0.2604319916020952,0.24638508465603648,0.34455609160704714
Qwen3-8B-Base,Joint C1,64,2048,3,2.6180554556411177,0.3075325548926542,0.837191015720387,2.554642577091476,2.4457652652448285,2.9505612614506327,0.06595110138095872,0.1949048575029919,0.26342496020240924,0.40201573420742154
