layer,method,base_rank,residual_rank,route_scan_width,additional_routing_state,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
0,r16_only,0,16,16,16,0.6330657639191486,0.6329204982030205,0.7980804443359375,0.7881499718641862,0.1360081077182258,0.02372130939810007,0.006234382402185452
0,r20_only,0,20,20,20,0.6361886547529139,0.6360441467259079,0.8264999389648438,0.8179671433754265,0.09505893514869967,0.02329461815781501,0.006112005710838998
0,b4r16,4,16,20,16,0.642278020910453,0.6421365953283384,0.9574508666992188,0.9553582830121741,0.02077635652290155,0.02217162194328428,0.005759680031734566
0,b16_only,16,0,16,0,0.6394794795196503,0.639336884545628,0.9174652099609375,0.91340611432679,0.027186688933397818,0.024180665263582993,0.006476656241049686
0,b16r16,16,16,32,16,0.6424834904028103,0.6423423116211779,0.9682579040527344,0.9666968219680712,0.003262347564373158,0.02224188814983706,0.005769094580942671
0,r32_only,0,32,32,32,0.6398714477545582,0.6397269202279858,0.8842735290527344,0.8785820628982037,0.04778407253616024,0.022415803846790833,0.00590234797095673
0,exact_k,128,0,128,128,0.6428139010095038,0.6426727729267441,1.0,1.0,0.0,0.022284140328354716,0.005783011274035037
1,r16_only,0,16,16,16,0.9349697883008048,0.837685733451508,0.7194862365722656,0.6961966179791959,0.29792425726660554,0.01965285201221705,0.01829377500856942
1,r20_only,0,20,20,20,0.9361547335283831,0.8409779528155923,0.7569198608398438,0.7367381625358136,0.212774864916179,0.019182059869866645,0.01791249863140424
1,b4r16,4,16,20,16,0.938712335540913,0.8481221339898184,0.9013137817382812,0.8931203710456048,0.055128463825601486,0.017642291311461018,0.017080186309578888
1,b16_only,16,0,16,0,0.807895727630239,0.6995982814405579,0.8705101013183594,0.8597592221152398,2.2231165447381263,0.29295881766660975,0.22371632777903866
1,b16r16,16,16,32,16,0.9388312443625182,0.8484826273052022,0.9147567749023438,0.9076794646680354,0.04618175928537253,0.01763204979264134,0.01708658824589413
1,r32_only,0,32,32,32,0.9379194347420707,0.8458507405593991,0.8290252685546875,0.8148301126014803,0.10168293868510742,0.018025232248478556,0.017208067651309545
1,exact_k,128,0,128,128,0.9392795647727326,0.8493567347759381,1.0,1.0,0.0,0.017221515764364103,0.016804856591438763
2,r16_only,0,16,16,16,0.9664323744364083,0.8033773176139221,0.7416305541992188,0.7289238576777279,0.46002428885549307,0.031388833102381615,0.014401203560412749
2,r20_only,0,20,20,20,0.9676571488380432,0.8104986533289775,0.772125244140625,0.7609182831365615,0.35343587063835,0.026608874217077933,0.012308240909144154
2,b4r16,4,16,20,16,0.9685091433348134,0.8180772305931896,0.850860595703125,0.8435258663957939,0.17810247084707953,0.024829978613783547,0.011598710389651516
2,b16_only,16,0,16,0,0.9629849432967603,0.795390899758786,0.8050575256347656,0.7954701896524057,0.3612888025963912,0.06467040585702045,0.03008773569740169
2,b16r16,16,16,32,16,0.9688010255340487,0.8203736511059105,0.8639030456542969,0.8572097471915185,0.150113845935266,0.02388527022672923,0.01120751067567424
2,r32_only,0,32,32,32,0.969247174449265,0.8215839839540422,0.827606201171875,0.8191278144950047,0.1861884124664357,0.02237557320499384,0.010485938019537188
2,exact_k,128,0,128,128,0.9707515742629766,0.8326853885082528,1.0,1.0,0.0,0.01899493886374599,0.009171476629634003
3,r16_only,0,16,16,16,0.9578499072231352,0.833386272774078,0.7974624633789062,0.787501597777009,0.19976128652342595,0.01215263569592916,0.013884065129239738
3,r20_only,0,20,20,20,0.9587231632322073,0.837038827361539,0.8323822021484375,0.8241386986337602,0.13020862377015874,0.011525934136240583,0.013210256586481416
3,b4r16,4,16,20,16,0.95979607058689,0.8412671490805224,0.9060096740722656,0.9013871985953301,0.03699071464507142,0.010845043085490117,0.012315433586171397
3,b16_only,16,0,16,0,0.9580667035188526,0.834868625504896,0.8448524475097656,0.8372222345788032,0.11067197845841292,0.012763237445620745,0.014698093871021532
3,b16r16,16,16,32,16,0.9598945914767683,0.8416650400031358,0.9153633117675781,0.9112008477095515,0.030024096158740576,0.010766433779353194,0.01223142780230213
3,r32_only,0,32,32,32,0.9596306824823841,0.8406626334181055,0.8831291198730469,0.8773813706357032,0.05860398247750709,0.010951300233504815,0.012457381145535337
3,exact_k,128,0,128,128,0.9603481154190376,0.8434129075612873,1.0,1.0,0.0,0.010497119647350627,0.011828612506701738
4,r16_only,0,16,16,16,0.9567310061538592,0.8504081272985786,0.7366600036621094,0.7237088506808504,0.33223692594037857,0.017579776698008864,0.01058817826768745
4,r20_only,0,20,20,20,0.9577723920810968,0.8539938145549968,0.7723312377929688,0.7611344095785171,0.2442367601324804,0.01613493868439335,0.009987294822193508
4,b4r16,4,16,20,16,0.9598647047532722,0.8610426968662068,0.8860893249511719,0.8804871613392606,0.05616805373210809,0.01361539431936484,0.009096903499713292
4,b16_only,16,0,16,0,0.9577290661400184,0.854995284229517,0.8329048156738281,0.8246870147995651,0.1291905933248927,0.018223479302750364,0.010920523451798992
4,b16r16,16,16,32,16,0.960227660369128,0.8619379791198298,0.9004898071289062,0.8955958632286638,0.04116208548293798,0.01293545689302921,0.008966743994461752
4,r32_only,0,32,32,32,0.9593608579598367,0.8591111185960472,0.8352775573730469,0.8271764500532299,0.12039338395697996,0.013974173900850553,0.009214928402389052
