layer,objective,base_rank,residual_rank,heldout_training_objective,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
0,residual_mse,16,16,0.5690306895833036,0.6421586064388976,0.6420172971556894,0.9543380737304688,0.9520923998206854,0.006790898036797444,0.022392778438313676,0.0057983402817812744
1,residual_mse,16,16,0.6470032212419329,0.8161644079955295,0.7090118637715932,0.8819847106933594,0.8721865057464568,2.0044668744198018,0.28253314745785585,0.21445934634357486
2,residual_mse,16,16,0.6422988942253548,0.9679348504869267,0.8163646070752293,0.8447837829589844,0.8371501938672736,0.19968477200018242,0.028061880358385142,0.013175102299986197
3,residual_mse,16,16,0.7388062078577279,0.9594835205934942,0.8398182657547295,0.8868255615234375,0.8812596055213362,0.05740280709869694,0.011192680268136893,0.01292494881067729
4,residual_mse,16,16,0.6901162738037878,0.9594821161590517,0.8596481938147917,0.8693428039550781,0.8629170383792371,0.0721559995872667,0.013996570706513419,0.009283026822240794
5,residual_mse,16,16,0.609594916054159,0.9628449958981946,0.8801161601440981,0.8459281921386719,0.8383508858969435,0.1417139541663346,0.006819472550454097,0.0058922087204640984
6,residual_mse,16,16,0.7244230794658091,0.9457551165251061,0.8745191014604643,0.856353759765625,0.8492891888599843,0.09432837010535877,0.007874529501909517,0.007211425117700269
7,residual_mse,16,16,0.735296276411038,0.9389036985812709,0.8958350006723776,0.8471298217773438,0.8396116122603416,0.18959036584419664,0.015638193254208392,0.01835573568438789
8,residual_mse,16,16,0.6539284313526619,0.9477003831416368,0.9012942304834723,0.8252906799316406,0.8107854602557997,0.15422426548696336,0.008175647349343833,0.009103987389574063
9,residual_mse,16,16,0.6514137001017343,0.934714209404774,0.8817369946045801,0.8081321716308594,0.7986960458802059,0.15738562439219095,0.008040275770911853,0.012302241772568194
10,residual_mse,16,16,0.6377101161501926,0.9323321155970916,0.8530064527876675,0.76153564453125,0.7498078835196793,0.2563731363043189,0.013462179242395107,0.012872283007758376
11,residual_mse,16,16,0.6790579216562685,0.9226294264663011,0.8657653306145221,0.7799949645996094,0.7691750392550603,0.2515292093521566,0.009085247361989407,0.012894164652079359
12,residual_mse,16,16,0.7199447896435971,0.9637489877641201,0.9382879246259108,0.8603668212890625,0.853499612538144,0.3933639792885515,0.00235891315725496,0.0023951926118177657
13,residual_mse,16,16,0.5093733642967967,0.9458922868361697,0.8973841551924124,0.7508468627929688,0.7385934229241684,0.3343604192341445,0.003673048295536592,0.005294267208887612
14,residual_mse,16,16,0.5308024581537661,0.9589334719348699,0.9181899360846728,0.7708244323730469,0.7595534999854863,0.2905356911360286,0.0023730118824597767,0.0024792494352782694
15,residual_mse,16,16,0.5700983116699758,0.9535799261648208,0.880132325226441,0.7599754333496094,0.7481709424173459,0.3661139234318398,0.004133087361642348,0.005381601356524075
16,residual_mse,16,16,0.5752125021402099,0.9621086055412889,0.8904747957130894,0.7881355285644531,0.7777159620309249,0.4976993337186286,0.002439505501510396,0.003545312150648626
17,residual_mse,16,16,0.5757198049186488,0.9411192223196849,0.8456751585472375,0.761444091796875,0.7497118300525472,0.7521180757612456,0.004823977426406203,0.005998590042816506
18,residual_mse,16,16,0.5834326534093431,0.9635943742468953,0.834107558359392,0.7623176574707031,0.7506283572874963,0.568251341857831,0.0040248501370574764,0.0056971101495353555
19,residual_mse,16,16,0.6473889607963662,0.9519766218727455,0.8006429491797462,0.7679367065429688,0.7565237536327913,0.43455923919100314,0.007911866743404578,0.009377771726298443
20,residual_mse,16,16,0.5937845687993811,0.952045647543855,0.7986057997914031,0.7536544799804688,0.7415391207905486,0.46385813047527336,0.006886518226885941,0.018502462799311812
21,residual_mse,16,16,0.6075551338890813,0.952724669361487,0.82457698113285,0.74151611328125,0.7288037859834731,0.5321602301846724,0.0038580677819836304,0.005388081032794867
22,residual_mse,16,16,0.5485487145220294,0.9609016082249582,0.8119125241646543,0.7441596984863281,0.7315773839363828,0.5631096840952523,0.005427067317813442,0.00934525627090461
23,residual_mse,16,16,0.5718591144752609,0.9653661965858191,0.8109863329445943,0.7464752197265625,0.7340067832265049,0.559448911139043,0.006988157604068034,0.009675147611162898
24,residual_mse,16,16,0.5461283119803865,0.964434422319755,0.8031079987995327,0.7576751708984375,0.7457575519802049,0.5267920132027939,0.0072264817468033135,0.008233552178600516
25,residual_mse,16,16,0.5933311179261255,0.9677265264326707,0.816080828779377,0.7544746398925781,0.7423996201250702,0.6193118704250082,0.008366793583599002,0.008802280137691144
26,residual_mse,16,16,0.5546136196950479,0.9510523101780564,0.8042088013608009,0.7348785400390625,0.7218397735850886,0.7163650174916256,0.008458038830178644,0.006479740098458534
27,residual_mse,16,16,0.5752986546071759,0.9482978846644983,0.7839930853806436,0.7481269836425781,0.7357397791929543,0.6217034100991441,0.011853985214758106,0.01121349296836452
28,residual_mse,16,16,0.5908341787010114,0.9491330290911719,0.8258554246276617,0.7878303527832031,0.7773957748431712,0.6031511632172624,0.006868150303945314,0.005103563004955996
29,residual_mse,16,16,0.6285844370711461,0.9614114912692457,0.8241825113072991,0.7786788940429688,0.7677942455047742,0.5092756035301136,0.007819607718806859,0.0045956476607853895
30,residual_mse,16,16,0.5311906112665723,0.9253975250758231,0.8198383921990171,0.7312469482421875,0.7180295769358054,0.5339177292480599,0.013246819656499095,0.00905584337389328
31,residual_mse,16,16,0.6520327238811943,0.9484880578238517,0.8674311561044306,0.8236427307128906,0.8149694154271856,0.21128061738272663,0.0026106005939494745,0.001565560862907587
0,score_mse,16,16,0.0965636068743689,0.6425648698932491,0.6424236852908507,0.9675254821777344,0.9659283785149455,0.0034824564072550857,0.022243426317553428,0.0057644119989745625
1,score_mse,16,16,0.16047582774803876,0.9387391990749165,0.8484610971063375,0.9198951721191406,0.9132444775633272,0.04883805911841562,0.017760792214188897,0.017044049775427356
2,score_mse,16,16,0.3140318907621247,0.9681214146548882,0.8188041629036888,0.8704261779785156,0.8640536880120635,0.18164246158266906,0.027624247801954528,0.013081861212308416
3,score_mse,16,16,0.12635650662222053,0.9599250735482201,0.8419878386193886,0.9222640991210938,0.9184410144807771,0.026200088683253853,0.010824398408222888,0.012365107376461628
4,score_mse,16,16,0.16110606271091962,0.9598725305404514,0.8614954865770414,0.9094352722167969,0.9049812644952908,0.04236510147165973,0.014345909239281238,0.009109856552325353
5,score_mse,16,16,0.2051931609612793,0.9639746129978448,0.8839927770895883,0.8856239318847656,0.8799988751998171,0.09724436529359082,0.006145168849733207,0.005228552299433393
6,score_mse,16,16,0.19296502025661222,0.9465188075555488,0.8763542223023251,0.889190673828125,0.8837410293053836,0.05705302397109335,0.007653435655602854,0.007023941898897128
7,score_mse,16,16,0.1781625616478311,0.9413820237386972,0.900764096644707,0.8908767700195312,0.8855100525543094,0.06995958960033022,0.01415456396562925,0.016097852324395857
8,score_mse,16,16,0.19068305784647377,0.9494162964401767,0.9047480021836236,0.8637657165527344,0.8524548840378562,0.09924436210384294,0.0077679018332226565,0.008749462060224074
9,score_mse,16,16,0.17459287418330197,0.9368304152740166,0.8855837564915419,0.8526268005371094,0.8453789331251755,0.09037209572852589,0.00764333184653785,0.011668191163904383
10,score_mse,16,16,0.22694617643117415,0.9360210273880512,0.8612992514390498,0.820648193359375,0.8118276074528694,0.14083044497238006,0.012530647676279656,0.011930358792122002
11,score_mse,16,16,0.19893235855133998,0.9285646441858262,0.8762159199686721,0.8524322509765625,0.8451748179504648,0.09477313881507143,0.008237904906116953,0.011625704172729819
12,score_mse,16,16,0.15856467096511387,0.9702865809667856,0.9498167518759146,0.9089851379394531,0.9045089927967638,0.07619597161829006,0.0019035650329262976,0.0019344883585307151
13,score_mse,16,16,0.1597279363619375,0.9518006819998845,0.9090451595839113,0.8239974975585938,0.8153416329296306,0.14306552039488452,0.0030701211619665815,0.004455157139126779
14,score_mse,16,16,0.1797741892037571,0.9630222903797403,0.9268208232242614,0.8418769836425781,0.8341004374669865,0.13646468226215802,0.0020995901533652347,0.00218217814291354
15,score_mse,16,16,0.2018203108678565,0.9575209991307929,0.8907256892416626,0.8197479248046875,0.8108830655692145,0.19008305297757033,0.0036498083601302204,0.00472605043150894
16,score_mse,16,16,0.17721990592738548,0.9682256449013948,0.9098395239561796,0.8480644226074219,0.8405921787489206,0.1645071179664228,0.0020380953409953693,0.0030802060416444937
17,score_mse,16,16,0.16336196012798082,0.9518405265407637,0.8827614220790565,0.83087158203125,0.8225537876132876,0.17330706749635283,0.003926604724370102,0.005050564613970034
18,score_mse,16,16,0.16031832802173548,0.9696854139911011,0.8684882273664698,0.8359756469726562,0.8279088742565364,0.14514161567785777,0.0034955621609032966,0.005021313089751376
19,score_mse,16,16,0.17191433548405216,0.9565685726702213,0.8255976984510198,0.8369789123535156,0.828961480059661,0.1309162342295167,0.006932583896006227,0.008339373416057687
20,score_mse,16,16,0.17084210309384598,0.9578113033203408,0.8265733739826828,0.8227043151855469,0.8139848521677777,0.15009811673371587,0.006035891617695754,0.017510725654465327
21,score_mse,16,16,0.14969038103662075,0.9584651379846036,0.8529151739785448,0.8249702453613281,0.8163622226566076,0.1432412236026721,0.003193394508937674,0.004472119158127819
22,score_mse,16,16,0.15127157712037065,0.9670454697916284,0.8497480147052556,0.8249549865722656,0.8163462119409814,0.15802962695306633,0.00401036648378592,0.007589908299669419
23,score_mse,16,16,0.1458399991854692,0.9710950927110389,0.8485898696817458,0.8223495483398438,0.8136126381577924,0.16385484686179552,0.00502649646698107,0.007893768934528282
24,score_mse,16,16,0.13712991252171863,0.9699381313985214,0.8367317956872284,0.8323402404785156,0.8240946751320735,0.1468579932115972,0.005173025931941754,0.0059955826681751
25,score_mse,16,16,0.14596546970592084,0.9726129170740023,0.8498109503416345,0.8307304382324219,0.8224057011539117,0.16331758652813733,0.006206661770406225,0.006516529966276169
26,score_mse,16,16,0.14166938355230332,0.9608903065090999,0.8483345616841689,0.8121910095214844,0.8029544978635386,0.20400839755893685,0.005765127608092153,0.004313459404241168
27,score_mse,16,16,0.1500376186759226,0.956654348759912,0.8281791880726814,0.8257827758789062,0.8172147138975561,0.16331154583895113,0.008622155946580083,0.0085212848960874
28,score_mse,16,16,0.16698317083429456,0.9575506214750931,0.8661324742715806,0.8420143127441406,0.834244521916844,0.1696652018435998,0.005482027603353903,0.004118701745397374
29,score_mse,16,16,0.15025487700620654,0.9664267810294405,0.8530849629314616,0.845672607421875,0.8380827346118167,0.15432807167235296,0.0056346585221835515,0.0031500930022454357
30,score_mse,16,16,0.16256881673308582,0.9361430915305391,0.8482455082703382,0.8039131164550781,0.7942694961093366,0.21581818646518514,0.006455082745846111,0.00412385769788653
31,score_mse,16,16,0.19299953052345398,0.9513157260371372,0.8756649537244812,0.8671760559082031,0.860643727472052,0.1032293312746333,0.0018974345318479011,0.0009629458652807053
0,page_fisher,16,16,0.06786890219439469,0.6424834904028103,0.6423423116211779,0.9682579040527344,0.9666968219680712,0.003262347564373158,0.02224188814983706,0.005769094580942671
1,page_fisher,16,16,0.009305698255973535,0.9388312443625182,0.8484826273052022,0.9147567749023438,0.9076794646680354,0.04618175928537253,0.01763204979264134,0.01708658824589413
