task,dense_full,exact_k,r16_only,r20_only,b4r16,b16_only,b16r16,r32_only,residual_mse,score_mse
niah_single_1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
niah_single_2,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0
niah_single_3,100.0,100.0,75.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
niah_multikey_1,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0
niah_multikey_2,100.0,100.0,50.0,87.5,87.5,62.5,100.0,100.0,100.0,100.0
niah_multiquery,84.375,84.375,84.375,84.375,90.625,28.125,78.125,84.375,78.125,84.375
niah_multivalue,96.875,93.75,84.375,96.875,93.75,37.5,93.75,93.75,87.5,93.75
vt,75.0,72.5,70.0,70.0,72.5,42.50000000000001,72.5,72.5,72.5,72.5
fwe,87.5,91.66666666666666,87.5,83.33333333333333,95.83333333333333,87.5,95.83333333333333,91.66666666666666,87.5,95.83333333333333
qa_1,50.0,50.0,37.5,50.0,50.0,37.5,50.0,50.0,50.0,50.0
qa_2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
unweighted_11_task_mean,85.79545454545455,85.66287878787877,76.24999999999999,83.82575757575756,85.47348484848486,55.28409090909091,85.47348484848486,85.66287878787877,84.14772727272725,86.04166666666667
