model,revision,method,context,batch,tp,v_rank,base_rank,residual_rank,page_size,sparse_budget,sink,recent,k_residency,dtype,gpu,repeat,run_id,stage,median_ms,p10_ms,p90_ms,collective,communicated_width,communicated_elements_per_rank,payload_bytes_per_rank,ring_bytes_per_rank
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b1,projection,0.013791999779641628,0.012384000234305859,0.018912000581622124,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b1,collective,0.035023998469114304,0.031488001346588135,0.03855999931693077,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b1,reconstruction,0.009312000125646591,0.009088000282645226,0.00979200005531311,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b1,total,0.06801600009202957,0.06540799885988235,0.07657600194215775,all_reduce,4096,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b1,projection,0.016367999836802483,0.015744000673294067,0.024288000538945198,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b1,collective,0.03387200087308884,0.031936001032590866,0.038943998515605927,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b1,reconstruction,0.012319999746978283,0.01206399966031313,0.013919999822974205,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b1,total,0.06828799843788147,0.06332799792289734,0.07820799946784973,all_reduce,1024,1024,2048,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b1,projection,0.01603199914097786,0.015744000673294067,0.01756799966096878,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b1,collective,0.03155200183391571,0.03033600002527237,0.036031998693943024,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b1,reconstruction,0.01539199985563755,0.015231999568641186,0.016095999628305435,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b1,total,0.06907199695706367,0.06358399987220764,0.07516799867153168,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b1,projection,0.023151999339461327,0.020320000126957893,0.025472000241279602,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b1,collective,0.03412799909710884,0.03206399828195572,0.03827200084924698,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b1,reconstruction,0.025312000885605812,0.02518399991095066,0.02550400048494339,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b1,total,0.07614399865269661,0.07388799637556076,0.08575999736785889,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b1,projection,0.011888000182807446,0.01158399973064661,0.013088000006973743,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b1,collective,0.016095999628305435,0.015552000142633915,0.01692800037562847,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b1,reconstruction,0.025312000885605812,0.025151999667286873,0.025439999997615814,all_gather,256,256,512,3584.0
