kernel,count,total_us,mean_us
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),36120,134393877.815,3720.760736849391
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8::Params),25472,35211358.316000044,1382.3554615263836
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::bfloat16_t> >, true, false, false, false, true, false, false, false>(flash::Flash_fwd_params)",8448,24969385.767999254,2955.6564592802147
"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::BFloat16>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, 8, true>(c10::BFloat16*, long, c10::BFloat16*, c10::BFloat16 const*, float, int, int, long)",35840,7446015.9009974245,207.7571400947942
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn,15943,4166896.3969984227,261.36212739123266
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 64, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 64, 64, 4, cutlass::bfloat16_t> >, false, false, false, false, true, false, false, false>(flash::Flash_fwd_params)",3840,2125718.670999199,553.5725705727081
"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &(c10::BFloat16 vllm::silu_kernel<c10::BFloat16>(c10::BFloat16 const&, float)), &(__nv_bfloat162 vllm::packed_silu_kernel<__nv_bfloat162>(__nv_bfloat162 const&, float)), true, true, false, false>(c10::BFloat16*, c10::BFloat16 const*, int, float, float, float)",17920,1488079.3249995455,83.0401409039925
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::bfloat16_t> >, false, false, false, false, true, false, true, false>(flash::Flash_fwd_params)",5632,1074328.4069983661,190.75433362897127
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn,7856,574301.2900000848,73.1035246945118
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),280,483668.85300010955,1727.388760714677
"void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true>(c10::BFloat16*, c10::BFloat16 const*, long, long, long, long, long, c10::BFloat16 const*, long, float, int, int)",35840,406711.4369996921,11.347975362714624
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,4992,379783.6539993882,76.07845633000565
"void vllm::rotary_embedding_kernel<c10::BFloat16, c10::BFloat16, true>(long const*, c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, int, long, long, long, int, int, int, long, bool)",17920,225604.0440005815,12.589511383961021
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_32x6_tn,2128,220303.4389996212,103.52605216147613
